x,f(x)
-1.29,23.41
0.49,11.29
1.32,7.84
1.41,7.54
-1.99,29.87
4.94,8.78
0.45,11.48
2.24,5.58
2.71,5.09
-0.87,19.94
-3.52,47.55
-3.68,49.56
1.56,7.06
-3.90,52.60
-3.17,43.04
-3.16,42.96
-1.06,21.52
-0.20,15.27
3.12,5.01
-4.69,64.06
-3.97,53.55
4.59,7.54
4.19,6.41
3.17,5.03
1.01,8.96
-2.67,37.15
-0.87,19.95
0.92,9.32
4.18,6.40
-2.28,32.89
-0.61,18.06
1.90,6.22
2.92,5.01
2.70,5.09
-1.59,26.03
-1.21,22.73
3.26,5.07
-3.55,47.92
-4.44,60.40
4.82,8.33
1.61,6.93
0.51,11.21
-2.16,31.66
-4.01,54.10
0.63,10.62
-1.96,29.56
-0.14,14.83
-2.75,38.10
-2.32,33.33
1.85,6.31
-2.67,37.19
3.46,5.21
3.16,5.02
-1.52,25.40
3.95,5.90
-4.53,61.68
-1.46,24.86
-0.33,16.07
-4.65,63.48
2.65,5.12
0.83,9.73
-1.96,29.59
-4.30,58.23
-4.14,55.91
0.80,9.86
-3.97,53.60
4.76,8.10
-0.77,19.20
-2.39,34.01
-4.15,56.12
3.49,5.24
4.42,7.02
0.96,9.18
3.51,5.26
-3.71,50.00
-1.09,21.71
-4.89,67.26
1.75,6.56
-3.53,47.65
-1.72,27.28
-3.54,47.83
-4.76,65.20
-0.27,15.72
3.11,5.01
-3.10,42.17
-3.75,50.53
-2.90,39.78
3.14,5.02
1.07,8.72
0.63,10.64
4.96,8.85
4.72,7.96
4.26,6.58
1.93,6.14
4.57,7.46
3.00,5.00
1.57,7.04
-3.65,49.16
-2.02,30.17
-3.40,45.93
-3.96,53.48
2.09,5.84
0.11,13.34
1.23,8.15
4.83,8.35
4.78,8.16
-0.95,20.64
-1.97,29.71
-1.54,25.63
4.95,8.81
-1.96,29.56
4.31,6.71
-2.83,38.94
4.19,6.41
3.00,5.00
-3.22,43.67
2.60,5.16
4.34,6.79
-1.53,25.50
2.32,5.46
0.22,12.72
-1.89,28.87
4.10,6.20
-2.93,40.17
0.24,12.63
-0.06,14.34
0.43,11.61
2.48,5.27
-0.04,14.24
3.15,5.02
0.22,12.72
-4.01,54.09
1.00,8.99
3.24,5.06
-3.49,47.08
4.83,8.34
-1.67,26.83
-2.56,35.96
3.85,5.73
3.74,5.54
-3.68,49.64
-2.79,38.55
2.67,5.11
1.34,7.76
-0.94,20.54
4.35,6.82
-0.30,15.86
-4.83,66.25
-1.79,27.93
0.70,10.29
-0.71,18.78
2.58,5.18
2.04,5.91
-1.55,25.74
1.38,7.61
3.11,5.01
3.43,5.18
0.89,9.47
2.14,5.74
-1.79,27.93
2.98,5.00
3.26,5.07
2.00,6.00
-4.19,56.71
-4.11,55.48
-0.57,17.72
4.48,7.18
0.36,11.99
-2.49,35.11
3.02,5.00
-3.97,53.55
4.08,6.18
3.05,5.00
0.88,9.49
3.69,5.47
1.28,7.96
1.75,6.56
2.84,5.02
2.42,5.34
-4.47,60.82
4.02,6.05
3.93,5.87
-1.13,22.08
-0.72,18.82
3.23,5.05
4.48,7.20
1.20,8.24
-3.81,51.36
0.15,13.11
-0.95,20.60
-2.22,32.26
-0.70,18.69
-0.71,18.80
-2.78,38.46
-1.40,24.38
2.33,5.44
0.93,9.29
-1.86,28.67
4.41,6.98
-2.87,39.51
1.89,6.23
-4.11,55.49
-2.05,30.49
-2.52,35.47
0.78,9.91
4.63,7.67
0.72,10.18
-1.29,23.43
0.90,9.40
0.80,9.82
-3.64,49.10
2.45,5.30
4.78,8.18
4.87,8.50
-1.19,22.53
-1.53,25.52
-0.15,14.93
-3.67,49.54
-0.58,17.84
-1.42,24.51
3.71,5.50
3.96,5.92
1.94,6.12
3.10,5.01
1.06,8.78
-1.98,29.80
-1.06,21.50
-3.18,43.16
1.55,7.11
2.07,5.87
-4.23,57.21
-0.23,15.45
-0.62,18.13
0.18,12.96
1.04,8.83
-2.10,31.06
0.91,9.35
-0.59,17.92
3.31,5.10
0.14,13.19
-3.72,50.19
-1.57,25.86
4.49,7.23
1.24,8.11
4.36,6.84
0.71,10.24
-0.30,15.89
4.28,6.63
-1.47,24.95
4.47,7.17
1.65,6.82
2.89,5.01
2.12,5.78
2.60,5.16
-4.42,60.00
0.74,10.09
-1.71,27.15
2.46,5.30
-3.04,41.53
-4.92,67.80
-0.66,18.41
-0.44,16.87
0.05,13.68
1.89,6.24
3.78,5.60
-0.83,19.64
0.30,12.27
2.57,5.18
-1.83,28.30
-3.09,42.12
-3.10,42.23
-4.21,56.94
2.34,5.43
2.54,5.21
-4.81,66.00
3.71,5.50
2.90,5.01
1.61,6.93
0.26,12.51
-1.19,22.53
0.24,12.61
-4.50,61.18
4.02,6.05
-3.96,53.38
-1.55,25.73
4.15,6.32
-1.68,26.94
-4.89,67.27
-4.30,58.29
4.88,8.54
-4.52,61.56
-0.48,17.12
-4.57,62.24
-2.63,36.65
-3.84,51.77
2.19,5.65
4.74,8.04
-2.72,37.68
1.29,7.92
2.23,5.59
-2.86,39.31
0.60,10.75
1.46,7.37
3.87,5.75
1.37,7.66
-3.39,45.82
2.33,5.45
-3.45,46.66
-3.50,47.21
-0.19,15.16
-0.93,20.41
4.55,7.40
-3.55,47.94
0.25,12.54
-3.60,48.50
-4.28,57.93
3.56,5.31
-2.77,38.31
3.23,5.05
1.39,7.60
2.01,5.98
3.53,5.28
2.60,5.16
3.78,5.62
-3.57,48.18
-3.87,52.24
-1.61,26.22
3.15,5.02
0.26,12.52
4.44,7.07
-0.37,16.37
3.76,5.58
1.29,7.91
-0.81,19.48
2.53,5.22
-2.70,37.53
-0.98,20.88
3.32,5.11
-2.05,30.54
2.10,5.80
-0.64,18.23
1.25,8.08
-1.23,22.88
-0.77,19.25
-2.12,31.23
4.48,7.20
-1.83,28.28
-0.66,18.39
1.41,7.54
-0.38,16.41
4.19,6.42
0.08,13.53
1.83,6.36
-0.70,18.67
0.57,10.90
-0.21,15.28
2.78,5.05
-1.90,29.01
-3.13,42.54
2.11,5.79
1.60,6.97
3.02,5.00
3.01,5.00
-4.55,61.96
4.51,7.29
2.61,5.15
4.79,8.20
3.02,5.00
2.44,5.32
-0.37,16.35
-2.67,37.10
1.76,6.54
-1.57,25.90
-0.36,16.28
2.70,5.09
3.23,5.05
-4.27,57.86
2.05,5.91
-3.53,47.68
-4.53,61.64
-3.17,43.12
0.53,11.11
-4.31,58.40
2.51,5.24
0.02,13.90
-2.92,40.04
-2.85,39.27
-2.67,37.13
-0.28,15.76
-2.38,33.91
0.48,11.35
4.98,8.90
0.80,9.84
-2.71,37.62
-4.30,58.34
4.67,7.79
-4.85,66.65
0.51,11.22
-1.91,29.07
3.76,5.58
0.87,9.54
4.29,6.66
-3.31,44.76
1.73,6.62
0.57,10.93
3.14,5.02
4.13,6.28
-0.51,17.30
-4.62,63.04
0.59,10.83
-3.08,41.94
-2.16,31.67
-4.19,56.75
-4.72,64.58
-4.87,66.90
-1.14,22.12
-1.53,25.51
-0.49,17.17
-0.51,17.30
-3.87,52.17
0.66,10.47
3.93,5.87
2.29,5.50
2.31,5.47
0.65,10.52
-4.70,64.36
-4.48,60.88
-1.92,29.21
2.53,5.22
3.21,5.05
-3.91,52.79
2.28,5.52
-1.26,23.12
-2.09,30.93
3.25,5.06
1.41,7.54
2.21,5.62
3.42,5.17
-2.06,30.59
-4.11,55.51
2.63,5.14
-0.32,16.03
-3.06,41.67
1.72,6.63
-1.72,27.29
2.60,5.16
-2.36,33.69
-1.33,23.76
-4.47,60.80
3.31,5.10
0.55,10.99
0.45,11.48
3.11,5.01
-3.47,46.88
-2.46,34.79
-1.98,29.78
-2.87,39.45
3.32,5.10
3.40,5.16
4.35,6.82
-3.99,53.86
-4.74,64.89
-2.77,38.32
-1.86,28.60
1.26,8.04
-4.49,61.05
-2.12,31.23
4.19,6.42
1.54,7.14
-2.73,37.84
4.81,8.27
0.13,13.23
2.39,5.37
1.53,7.15
1.45,7.41
2.97,5.00
3.40,5.16
4.33,6.76
3.41,5.17
3.85,5.73
-2.21,32.16
-1.93,29.33
-2.08,30.81
-3.83,51.69
-2.94,40.30
3.05,5.00
4.02,6.04
0.46,11.45
4.41,6.98
2.79,5.04
-4.68,64.05
-0.65,18.33
-3.51,47.35
1.35,7.71
-1.63,26.41
-2.99,40.91
2.49,5.26
1.58,7.01
0.24,12.64
0.81,9.79
3.10,5.01
0.75,10.06
-2.10,31.05
-2.87,39.41
-0.05,14.31
4.15,6.31
1.11,8.56
-0.59,17.86
-2.67,37.18
-2.36,33.70
-2.53,35.56
4.24,6.53
4.45,7.11
-2.47,34.88
-4.78,65.55
0.32,12.17
-4.07,55.02
-0.40,16.53
-4.95,68.13
-3.90,52.67
2.29,5.50
-0.31,15.94
-3.18,43.14
3.86,5.74
0.47,11.40
4.85,8.42
0.83,9.69
2.37,5.40
-4.02,54.32
-2.41,34.25
-3.62,48.77
-4.83,66.37
-4.98,68.70
-4.23,57.34
2.04,5.92
-1.05,21.44
4.64,7.70
-3.01,41.13
3.13,5.02
4.83,8.36
3.52,5.27
-0.17,15.07
2.05,5.90
-4.44,60.34
4.18,6.39
3.43,5.19
-4.02,54.27
3.24,5.06
-0.06,14.39
3.68,5.46
4.92,8.69
-4.35,59.09
-3.77,50.89
-3.48,46.94
0.07,13.58
3.78,5.61
-3.44,46.53
-1.25,23.07
-1.06,21.46
-0.16,15.00
-2.16,31.61
2.08,5.85
-1.08,21.65
2.64,5.13
-1.40,24.37
-0.81,19.49
-4.55,62.06
-2.88,39.61
-3.89,52.42
-0.82,19.62
4.48,7.18
-4.59,62.56
-4.49,61.12
-4.52,61.57
1.37,7.67
-0.00,14.02
4.43,7.06
1.74,6.58
0.02,13.86
3.09,5.01
2.03,5.94
-0.55,17.60
-3.20,43.50
2.72,5.08
-0.28,15.73
-3.31,44.85
3.28,5.08
2.82,5.03
4.51,7.29
-0.81,19.51
1.12,8.53
3.90,5.82
2.35,5.42
3.18,5.03
-0.40,16.57
0.96,9.16
0.52,11.14
4.49,7.23
3.87,5.76
-2.40,34.15
3.01,5.00
0.14,13.19
-2.38,33.92
-1.30,23.46
2.17,5.68
-3.74,50.36
-1.07,21.60
-0.83,19.67
3.32,5.10
1.52,7.19
2.32,5.46
2.97,5.00
-3.72,50.10
-4.32,58.57
3.19,5.04
4.96,8.84
-0.63,18.15
1.43,7.46
2.76,5.06
-2.27,32.74
-3.21,43.51
1.43,7.48
3.44,5.19
-2.79,38.54
0.04,13.79
3.68,5.46
4.46,7.15
3.49,5.24
-2.51,35.33
-4.18,56.61
-2.68,37.21
-1.86,28.57
4.23,6.50
2.79,5.04
-1.17,22.38
-4.93,67.92
-4.46,60.61
3.15,5.02
-2.63,36.68
-0.32,16.03
3.94,5.89
-3.83,51.60
4.40,6.96
0.48,11.35
-1.18,22.47
-3.94,53.10
-1.09,21.76
-2.31,33.22
2.29,5.50
-0.73,18.91
-2.60,36.31
-4.02,54.24
2.57,5.18
-1.69,27.01
-4.32,58.64
2.31,5.48
-1.72,27.32
-1.44,24.73
1.48,7.32
-4.92,67.71
3.39,5.15
4.61,7.60
-0.76,19.14
-1.82,28.23
2.59,5.17
-0.77,19.18
-1.12,21.97
1.64,6.85
1.07,8.74
1.12,8.54
0.78,9.94
1.10,8.59
1.24,8.11
-2.73,37.78
-1.82,28.23
-0.19,15.18
1.20,8.24
2.09,5.83
-3.56,48.01
0.05,13.71
-3.90,52.58
-2.09,30.94
-4.31,58.42
-4.02,54.27
4.26,6.60
1.28,7.94
-0.10,14.61
-4.06,54.81
4.40,6.97
-4.94,68.01
0.63,10.62
0.41,11.71
-1.05,21.44
-1.25,23.04
-1.82,28.25
1.22,8.17
1.13,8.49
-1.12,21.95
-3.67,49.51
-1.23,22.85
0.40,11.77
-3.55,47.92
-0.54,17.53
-3.46,46.76
1.32,7.81
0.86,9.58
2.39,5.37
-3.68,49.64
-3.65,49.28
-1.59,26.06
3.96,5.92
3.65,5.42
1.39,7.59
-1.34,23.85
-4.81,65.97
-0.23,15.41
-3.41,46.13
3.88,5.77
1.52,7.20
-4.20,56.79
1.29,7.92
-4.78,65.57
-3.40,46.01
4.79,8.19
3.87,5.76
4.13,6.28
2.02,5.97
-0.26,15.60
1.75,6.56
-0.82,19.62
3.26,5.07
-0.98,20.87
-3.31,44.88
-3.59,48.43
-2.69,37.40
-4.41,59.92
3.35,5.12
-3.78,51.00
1.42,7.49
3.61,5.37
-3.06,41.74
0.69,10.34
-4.28,57.93
3.69,5.47
-3.30,44.70
3.38,5.14
4.57,7.46
-1.74,27.48
-1.93,29.35
-2.33,33.42
2.84,5.02
-0.20,15.23
-4.54,61.91
0.90,9.40
3.84,5.70
-2.49,35.18
1.54,7.12
-1.22,22.83
4.63,7.66
2.60,5.16
-3.52,47.46
-1.26,23.13
3.54,5.29
-1.46,24.90
2.35,5.42
1.52,7.19
1.58,7.01
-0.09,14.55
3.85,5.73
-2.80,38.61
-3.29,44.53
3.12,5.01
-3.66,49.38
-4.02,54.34
-4.98,68.63
2.63,5.14
-4.03,54.35
3.88,5.77
-1.92,29.23
-1.12,21.98
-4.92,67.68
0.79,9.86
-0.83,19.69
-2.17,31.69
-2.36,33.68
1.39,7.59
4.23,6.52
-2.34,33.49
-3.85,51.86
-0.53,17.43
-4.91,67.60
4.90,8.60
1.19,8.26
3.06,5.00
3.56,5.31
1.11,8.57
-0.64,18.22
0.27,12.43
-4.76,65.26
1.21,8.20
3.57,5.32
-3.98,53.72
0.63,10.63
-3.81,51.43
1.98,6.04
-4.44,60.34
-0.38,16.39
-3.67,49.52
-1.44,24.75
3.85,5.73
2.57,5.19
-4.16,56.30
-1.59,26.11
-1.08,21.62
-2.69,37.36
-3.95,53.28
-4.06,54.88
3.40,5.16
-2.78,38.38
2.49,5.27
2.36,5.41
0.86,9.58
-0.66,18.39
0.38,11.85
1.80,6.43
2.66,5.12
-4.50,61.19
4.54,7.37
2.05,5.91
-3.61,48.75
1.74,6.60
1.78,6.50
-3.19,43.28
-0.47,17.02
2.82,5.03
-1.36,24.03
1.29,7.93
0.34,12.09
-0.29,15.83
2.65,5.12
1.63,6.87
3.32,5.10
-3.01,41.15
2.79,5.04
2.22,5.61
-1.26,23.12
-3.29,44.63
3.63,5.39
1.34,7.75
3.63,5.40
2.41,5.35
-1.83,28.32
-2.54,35.66
-2.95,40.42
4.41,6.98
-3.65,49.19
3.02,5.00
3.75,5.57
3.09,5.01
-0.36,16.27
2.34,5.44
-1.48,25.07
2.36,5.41
-2.52,35.43
3.31,5.10
-1.94,29.41
-0.85,19.85
-2.13,31.31
0.09,13.50
-1.34,23.81
-1.69,26.99
2.67,5.11
-4.77,65.38
-4.48,61.02
4.38,6.92
-1.92,29.21
-4.34,58.89
3.95,5.91
2.94,5.00
2.03,5.95
-4.11,55.55
3.85,5.71
4.71,7.94
3.21,5.04
-3.97,53.56
-4.27,57.84
-4.93,67.88
1.04,8.86
-0.46,16.95
1.46,7.38
-0.18,15.11
1.69,6.72
-2.42,34.42
2.53,5.22
-3.97,53.63
3.32,5.10
2.55,5.20
-3.33,45.06
2.98,5.00
2.43,5.32
3.50,5.25
-3.28,44.43
4.25,6.57
4.25,6.56
-0.34,16.17
-3.67,49.47
-3.59,48.45
2.39,5.37
-3.15,42.82
3.75,5.56
3.84,5.70
-3.24,43.88
3.23,5.05
-1.62,26.36
1.97,6.06
4.22,6.50
-2.90,39.84
4.80,8.23
3.06,5.00
3.49,5.24
-0.20,15.26
-4.57,62.24
-0.26,15.64
4.35,6.83
0.80,9.84
-3.81,51.35
1.61,6.94
1.41,7.53
0.62,10.68
-1.01,21.09
-0.84,19.77
4.09,6.18
-0.63,18.16
1.38,7.62
-2.40,34.19
-1.78,27.82
-4.50,61.19
-3.75,50.62
0.31,12.24
-1.00,20.97
-0.57,17.72
3.80,5.64
-1.98,29.81
1.69,6.72
1.72,6.64
4.21,6.47
-4.92,67.67
4.28,6.64
3.79,5.63
1.44,7.43
-1.26,23.11
-4.02,54.22
2.14,5.73
-1.92,29.22
0.68,10.38
-3.81,51.37
3.52,5.27
-3.55,47.92
2.73,5.07
1.51,7.23
-0.46,16.96
3.49,5.24
0.30,12.28
2.43,5.33
4.16,6.35
-4.43,60.28
-2.43,34.50
-2.97,40.59
-3.91,52.72
4.74,8.02
-1.56,25.75
-3.52,47.56
1.60,6.96
-0.25,15.57
-4.04,54.57
-4.27,57.84
0.03,13.81
3.51,5.26
0.63,10.60
3.74,5.55
-4.49,61.14
3.77,5.60
-4.68,63.93
-1.09,21.70
3.61,5.38
-4.81,66.06
0.02,13.86
-0.44,16.81
0.99,9.05
-0.86,19.94
-4.88,67.14
4.04,6.08
-0.84,19.75
2.29,5.50
-4.27,57.79
1.91,6.19
1.36,7.67
-3.90,52.61
3.01,5.00
-4.13,55.88
2.45,5.30
-2.79,38.47
0.28,12.40
3.85,5.72
-2.37,33.82
3.19,5.04
3.56,5.31
2.19,5.66
-4.75,65.13
-1.32,23.62
-3.99,53.83
3.58,5.33
2.56,5.19
4.93,8.72
-4.49,61.05
-1.83,28.38
1.11,8.57
-0.87,19.98
2.95,5.00
2.12,5.78
0.01,13.93
1.22,8.16
-3.63,49.02
-4.38,59.48
1.44,7.43
2.47,5.28
2.83,5.03
1.48,7.31
2.41,5.35
4.09,6.18
-4.69,64.15
-3.71,49.99
0.80,9.82
4.43,7.06
-3.11,42.39
-1.64,26.52
1.92,6.17
0.15,13.13
-1.79,27.95
0.49,11.32
3.44,5.19
-0.08,14.50
-2.95,40.36
1.21,8.21
3.35,5.12
-0.31,15.96
0.74,10.12
-4.97,68.51
-4.85,66.65
4.53,7.35
3.17,5.03
0.73,10.15
-0.79,19.34
-4.45,60.43
-1.71,27.17
-2.95,40.45
-2.65,36.96
-0.15,14.93
0.91,9.39
-3.38,45.75
0.06,13.63
-2.24,32.49
3.85,5.72
2.42,5.34
2.51,5.24
4.43,7.05
-2.05,30.52
-4.36,59.20
-4.49,61.10
2.09,5.83
-2.65,36.92
0.44,11.56
2.79,5.05
-4.76,65.26
-1.85,28.50
-1.17,22.36
4.00,6.00
3.58,5.34
2.82,5.03
-1.41,24.47
-3.94,53.16
-3.55,47.93
-3.79,51.15
-2.04,30.37
1.82,6.39
-1.92,29.24
1.73,6.61
3.84,5.71
-3.84,51.73
-4.71,64.45
-2.41,34.22
3.94,5.88
4.36,6.86
-2.16,31.65
3.93,5.87
-0.49,17.15
-3.45,46.62
-3.06,41.75
1.26,8.01
2.42,5.34
-4.86,66.84
-0.61,18.06
-0.46,16.96
-0.97,20.79
-0.85,19.79
3.05,5.00
4.90,8.59
4.25,6.57
0.55,11.02
4.49,7.22
-1.85,28.48
0.60,10.76
2.73,5.07
1.02,8.92
-4.86,66.74
1.02,8.93
0.95,9.20
-2.42,34.37
3.86,5.74
-0.73,18.95
-2.64,36.78
3.50,5.25
-2.28,32.88
-1.74,27.42
1.00,9.00
-4.59,62.60
-2.76,38.17
-4.82,66.15
4.51,7.27
0.31,12.24
4.75,8.05
1.73,6.61
4.75,8.05
-2.70,37.45
-1.98,29.77
-0.34,16.16
4.20,6.44
-2.80,38.69
-0.81,19.51
4.20,6.44
3.57,5.32
-3.21,43.62
4.44,7.07
2.90,5.01
3.79,5.63
-1.33,23.76
-1.15,22.23
3.20,5.04
-2.61,36.42
-2.06,30.65
-2.00,30.04
-0.18,15.12
4.93,8.74
4.35,6.82
4.68,7.81
2.21,5.63
2.24,5.58
2.27,5.53
4.76,8.10
2.97,5.00
-1.98,29.78
0.95,9.20
0.92,9.32
0.64,10.59
-0.46,16.98
4.50,7.25
-3.22,43.65
3.95,5.89
-4.04,54.59
4.49,7.23
-3.11,42.34
0.19,12.92
-4.64,63.36
-2.09,30.88
-0.18,15.14
-2.71,37.55
1.39,7.60
-0.24,15.49
2.76,5.06
-2.15,31.49
-0.11,14.66
2.83,5.03
-4.06,54.90
3.28,5.08
4.24,6.53
-3.38,45.74
4.31,6.70
-1.75,27.61
0.31,12.22
3.80,5.64
2.22,5.60
-1.47,25.00
-1.23,22.89
-4.77,65.34
3.94,5.88
0.40,11.77
2.50,5.25
4.00,5.99
-0.88,20.07
-4.04,54.62
1.95,6.10
4.80,8.22
-2.09,30.87
-3.20,43.38
-0.41,16.63
-2.48,35.08
4.59,7.52
-2.05,30.53
-2.65,36.91
2.78,5.05
2.11,5.79
4.84,8.40
-2.07,30.74
2.99,5.00
2.75,5.06
-0.79,19.37
1.35,7.72
4.35,6.83
1.27,7.99
3.31,5.09
3.36,5.13
4.31,6.71
-1.95,29.51
-1.74,27.46
0.93,9.28
3.92,5.85
-0.93,20.45
-0.79,19.39
3.42,5.18
-3.32,44.95
-1.30,23.50
-1.00,21.03
4.78,8.15
3.53,5.28
-1.11,21.91
2.59,5.17
3.45,5.20
-0.96,20.65
-4.60,62.73
-3.73,50.23
1.94,6.11
-4.98,68.72
-2.30,33.08
-0.51,17.30
-3.00,40.98
-4.04,54.53
4.09,6.20
1.97,6.06
4.91,8.64
-4.36,59.23
-2.06,30.65
-4.15,56.14
3.79,5.63
4.91,8.65
3.78,5.62
0.45,11.51
-3.84,51.79
-0.89,20.15
4.70,7.89
-2.62,36.59
0.47,11.40
-2.72,37.77
3.14,5.02
4.87,8.50
0.19,12.89
-3.25,44.07
-1.74,27.44
3.31,5.10
2.32,5.47
3.87,5.76
1.94,6.13
-1.66,26.73
-4.92,67.68
-4.29,58.18
4.14,6.31
4.04,6.07
-3.58,48.26
-1.72,27.28
-3.95,53.27
-3.74,50.48
0.45,11.48
3.88,5.78
-4.26,57.66
-4.56,62.19
-0.75,19.06
3.88,5.78
-2.96,40.50
-1.09,21.75
1.06,8.78
3.62,5.38
-3.15,42.80
-4.94,67.99
4.17,6.36
2.84,5.02
0.05,13.69
-4.34,58.94
-2.27,32.74
-1.31,23.58
3.94,5.88
-2.15,31.55
-3.08,41.95
-2.11,31.11
-3.90,52.57
4.74,8.02
0.05,13.72
1.74,6.58
0.61,10.72
1.58,7.01
-0.41,16.65
0.26,12.51
-2.58,36.15
-4.91,67.62
-2.72,37.67
1.65,6.81
-0.91,20.30
4.83,8.34
-4.04,54.49
-0.47,17.03
-3.06,41.74
-0.88,20.07
-2.86,39.37
2.94,5.00
-3.84,51.73
2.44,5.31
3.97,5.94
3.75,5.57
-4.38,59.42
-2.04,30.44
3.79,5.63
1.81,6.43
3.40,5.16
-3.52,47.46
2.99,5.00
0.65,10.53
3.71,5.50
3.01,5.00
-0.29,15.84
-4.17,56.39
4.08,6.18
2.57,5.18
-3.24,43.95
3.21,5.04
4.53,7.34
0.35,12.04
-2.21,32.16
-3.06,41.74
1.70,6.69
4.54,7.38
4.70,7.87
-4.47,60.75
2.04,5.93
-3.12,42.42
3.31,5.10
-0.34,16.13
-2.59,36.26
2.45,5.30
-2.72,37.76
-2.81,38.80
-4.33,58.77
-0.31,15.99
-2.77,38.32
-0.67,18.48
-3.66,49.31
1.75,6.56
3.42,5.17
-3.06,41.78
-1.32,23.69
2.49,5.26
-4.76,65.15
-2.84,39.07
-4.87,66.97
3.73,5.53
0.36,11.97
-0.83,19.66
-1.43,24.60
-4.21,56.93
-0.70,18.66
1.97,6.06
-4.49,61.06
-0.05,14.28
-0.87,19.98
-1.18,22.45
0.78,9.92
-0.55,17.57
0.83,9.70
0.39,11.84
1.49,7.28
-4.04,54.59
0.97,9.10
3.11,5.01
-0.80,19.45
-0.68,18.51
-2.56,35.94
0.31,12.22
-0.21,15.33
1.76,6.54
2.90,5.01
0.91,9.37
-0.28,15.78
1.77,6.52
-2.63,36.69
4.60,7.55
-3.89,52.44
-0.50,17.27
2.75,5.06
3.16,5.02
-4.60,62.71
2.58,5.18
-1.54,25.65
4.51,7.28
2.05,5.91
0.87,9.55
-3.21,43.58
-0.06,14.39
4.45,7.09
-0.81,19.51
0.80,9.85
-4.86,66.81
-0.06,14.38
-0.51,17.30
-4.54,61.78
2.75,5.06
4.49,7.23
-2.31,33.15
4.98,8.92
-2.82,38.85
-4.29,58.08
-3.98,53.72
-4.85,66.68
2.70,5.09
-0.48,17.14
-1.49,25.16
0.05,13.71
2.32,5.46
1.98,6.04
-3.96,53.48
-3.50,47.26
-2.12,31.19
-2.14,31.45
-2.75,38.03
-2.00,29.96
1.66,6.79
-3.71,50.08
3.59,5.35
2.44,5.31
-4.12,55.73
2.56,5.19
-0.31,15.97
4.10,6.21
-0.68,18.56
1.92,6.16
-4.56,62.14
1.20,8.25
-0.37,16.33
-2.35,33.60
2.22,5.61
4.66,7.75
-4.22,57.11
1.20,8.22
3.79,5.62
2.46,5.29
-2.46,34.85
-3.56,48.05
1.90,6.22
-3.29,44.51
-1.95,29.51
3.51,5.26
-2.36,33.71
-2.80,38.67
1.01,8.96
0.57,10.91
2.31,5.48
-3.81,51.41
