x1,x2,x3,f(x1,x2,x3)
7670084,3857206,6.41,48.09,,
3015031,8662191,3.44,147.14,,
9150256,4678095,6.59,65.87,,
7832797,7254294,1.35,2066.59,,
7482003,6842601,6.26,87.19,,
8546631,8036015,1.21,3112.45,,
8248866,3605517,8.49,27.54,,
6752795,9950881,3.31,408.47,,
1248952,4089475,9.54,3.75,,
6527298,6234225,8.73,35.63,,
8229475,2188380,8.21,17.81,,
7638349,998668,5.69,15.73,,
2821183,6187638,4.72,52.28,,
1530520,4061122,4.41,21.33,,
6025080,4738967,4.57,91.3,,
6066380,5780993,8.97,29.08,,
8029671,9968333,3.72,385.06,,
4087598,5400379,2.53,230.31,,
684923,4135286,0.58,554.82,,
7544677,2574080,8.84,16.58,,
9161061,662819,3.64,30.53,,
3656837,1792170,1.04,403.18,,
6536096,1571725,8.37,9.78,,
9730953,127753,6.76,1.81,,
9245004,7242279,7.29,84.17,,
2981891,4015504,2.24,158.65,,
6599866,4088377,4.76,79.39,,
2668270,9474734,5.22,61.93,,
4798925,672318,5.27,7.75,,
5761827,1473021,5.71,17.35,,
8745777,7772124,3.15,456.86,,
5753581,6495309,5.7,76.63,,
8582745,6374996,5.34,128.19,,
9728049,1149108,1,742.47,,
1702269,5841525,5.4,22.72,,
1235313,3628489,2.53,46.72,,
1099552,9343730,6.83,14.72,,
856995,4933541,9.27,3.29,,
6916150,4031916,1.87,533.14,,
2063996,8893429,1.85,356.58,,
4721271,7293013,9.71,24.37,,
638793,8416029,5.06,14.01,,
6877284,2290667,6.34,26.13,,
1792928,4368067,7.19,10.12,,
5572572,7909192,8.13,44.5,,
4271309,6932422,3.95,126.61,,
7768992,7637650,4.03,243.28,,
9050584,9921990,0.85,8231.52,,
9713399,4979320,4.48,160.56,,
4563595,5939736,7.67,30.78,,
6508577,534236,7.27,4.38,,
3171397,242920,2.28,9.85,,
5468166,3980628,5.21,53.58,,
6008696,4946359,0.24,35706.48,,
5072356,8159927,1.87,791.4,,
4587252,2237393,6.06,18.68,,
5145901,8655020,5.99,82.73,,
6023320,3944053,6.41,38.61,,
1934222,1556964,5.12,7.66,,
5279257,2906955,1.98,260.75,,
2873037,8795712,9.67,18.02,,
7081507,164802,8.95,0.97,,
3909939,2771303,9.07,8.79,,
1758304,8315428,3.92,63.52,,
4562373,7650467,1.6,914.96,,
2796029,2406492,7.91,7.18,,
489105,3525794,0.29,1339.7,,
3222720,9606488,2.15,448.27,,
8451534,6789691,9.78,40.06,,
8578784,4855077,5.38,96.01,,
2345425,5890181,4.82,39.63,,
7714795,6159247,6.29,80.15,,
8902012,8723786,0.83,7493.52,,
4263109,4055747,8.79,14.93,,
7235800,3897857,4.48,93.74,,
9767696,4807899,0.53,10979.46,,
8767823,9548336,0.26,84834.5,,
9940524,1966683,1.91,355.81,,
5915248,1389278,3.69,40.31,,
1894365,4361534,5.05,21.6,,
8321955,5778979,5.25,116.29,,
6785273,7741301,9.89,35.81,,
7132665,841719,1.91,110.25,,
8041180,3508660,2.02,463.27,,
8700795,6645354,5.27,139.16,,
7567425,7672750,1.32,2212.74,,
1279663,9890358,1.15,633.12,,
2758962,4686300,8.95,10.77,,
4637622,5487811,6,47.11,,
9971735,8915685,5.01,236.58,,
2290802,6430149,6.67,22.09,,
3885383,1853837,4.38,25.05,,
5386522,5217927,1.38,985.94,,
5867407,3777488,3.52,119.48,,
2672721,8134793,7.48,25.9,,
1518790,7069606,9.84,7.39,,
9210012,4306271,1.99,668.2,,
9344039,3691092,4.9,95.8,,
9926530,6977629,5,184.91,,
3919460,6193123,1.28,993.18,,
5734516,415874,2.75,20.97,,
3832072,8575493,9.09,26.54,,
7280501,1547453,9.59,8.18,,
7449186,1685569,1.52,363.15,,
5933278,4915996,9.81,20.24,,
3279425,9641775,2.01,520.04,,
753507,1125096,8.13,0.86,,
3622909,4642455,5.09,43.35,,
2275791,3005227,7.09,9.08,,
1188773,5942952,8.98,5.84,,
5456148,8520404,3.48,256.85,,
1099033,3900504,9.33,3.28,,
2540336,8434673,7.65,24.43,,
2246349,2910532,4.96,17.76,,
6313479,5999680,1.99,639.48,,
967261,2650564,3.41,14.72,,
7239962,5672686,0.23,53039.71,,
6449949,6433223,9.77,28.99,,
5416708,9813207,6.63,80.81,,
946770,2419013,1.28,92.74,,
480826,424584,6.56,0.32,,
2291984,488866,2.82,9.41,,
8751933,2417995,0.31,14699.01,,
3493901,3166784,9.96,7.45,,
1899445,5988099,2.42,130.12,,
4978338,8469045,1.14,2176.94,,
6864001,3894275,9.58,19.42,,
4190255,2362277,7.74,11.01,,
8557836,2578003,1.98,377.02,,
108492,4958427,1.91,9.88,,
1787555,2207864,0.18,7736.05,,
4286192,6643039,8.75,24.84,,
1392759,856370,8.64,1.07,,
3557445,1045029,5.59,7.94,,
3825957,9424967,7.54,42.31,,
6877238,9195267,0.72,8098.18,,
4502106,8475331,7.89,40.89,,
6192287,5130313,8.43,29.8,,
4889992,3138837,8.59,13.88,,
4645493,8898041,0.4,17632.8,,
7758018,8012987,5,165.9,,
6459802,1853559,1.18,570.67,,
4103394,6790016,1.97,477.82,,
1565799,527777,4.16,3.18,,
2614020,3947849,8.1,10.49,,
2570812,5034500,1.61,335.2,,
8704225,1786812,4.07,62.68,,
677984,6376294,7.59,5.01,,
1049299,2401335,5.15,6.33,,
2603920,5898335,8.11,15.57,,
609709,901263,4.47,1.84,,
8150,8791838,6.21,0.12,,
285196,4993658,0.05,41123.03,,
8342309,9965328,6.26,141.63,,
1003570,3866891,6.02,7.15,,
9070927,2499703,0.22,30330.06,,
8943812,370866,3.63,16.79,,
9375110,5106589,4.21,180.22,,
4163372,2080453,6.31,14.54,,
8009565,138231,7.34,1.37,,
919861,3554839,9.52,2.41,,
6704455,9212106,2.34,753.77,,
6622375,218108,0.31,977.46,,
1161871,2908470,4.77,9.92,,
5381833,1842511,7.71,11.12,,
1669966,6536716,9.86,7.5,,
6906465,4004471,4.48,92.03,,
843416,526384,6.46,0.71,,
6980227,73901,2.57,5.23,,
9799090,9893273,4.2,366.14,,
4092618,4184965,5.02,45.34,,
2983840,784899,2.94,18.07,,
7665429,5795187,7.06,59.51,,
3991235,4260621,4.53,55.24,,
1778674,5325006,5.92,18.04,,
1814356,69282,3.01,0.93,,
8418890,5297055,2.24,590.87,,
1707519,7768200,6.79,19.21,,
1956742,6404487,1.45,400.47,,
1288314,6599040,0.92,665.51,,
10777,6173181,1.54,1.87,,
6797378,7798255,1.21,2431.65,,
4496680,4919377,1.05,1350.12,,
4820005,6940556,0.2,56191.42,,
8106599,2335011,2.31,235.81,,
9590781,4397046,3.3,257.65,,
9064268,1364789,4.71,37.16,,
9383228,7179565,1.93,1203.87,,
604780,9551494,2.58,57.82,,
8307155,8314631,1.08,3966.16,,
5614246,7309143,3.95,175.41,,
2537287,6065892,7.8,16.9,,
9524305,5257770,0.99,3437.82,,
7062539,4071028,3.16,192.1,,
8267039,3861895,9.52,23.49,,
5487112,1781940,2.12,145.38,,
7377297,1379377,3.23,65.12,,
3107169,3306677,8.1,10.44,,
2115026,8733987,8.01,19.21,,
8894488,2384554,4.39,73.47,,
2508623,1753516,1.24,191.33,,
8221801,3996160,4.54,106.58,,
6779573,364611,2.69,22.72,,
5796754,2403063,9.94,9.41,,
4076545,7113560,9.61,20.97,,
1843260,1029889,1.46,59.51,,
6693158,5564284,5.97,69.62,,
886610,9466164,1.25,360.33,,
4476005,518988,5.21,5.71,,
6019268,1193496,0.34,4060.46,,
6998287,1891727,1.71,301.06,,
7440660,7669731,5.19,141.4,,
153994,8392968,1.36,46.45,,
328634,1672566,2.12,8.14,,
6897603,3383969,4.87,65.75,,
4988710,219906,5.82,2.16,,
4757736,681649,9.41,2.44,,
9064427,5482430,7.6,57.47,,
2268410,252767,2.03,9.33,,
1540708,461138,3.1,4.92,,
9255378,8764159,4.11,320.81,,
4491105,6534128,3.71,142.12,,
7036257,7749810,5.52,119.6,,
4292816,6134769,2.79,225.76,,
3838484,8824643,6.59,52.04,,
4409554,6712321,1.11,1614.21,,
488098,6927214,0.96,245.35,,
3057464,2953455,8.47,8.4,,
3488421,4845437,5.3,40.12,,
7487932,5055970,9,31.21,,
6246971,1241615,2.29,99.13,,
5670032,5688629,4.63,100.38,,
2548759,3342208,5.86,16.55,,
9328259,1560978,3.06,104.09,,
9160847,1137645,4.03,42.88,,
8423138,6557832,4.9,153.37,,
588625,8144924,5.27,11.5,,
7025597,1531618,0.92,839.98,,
1680658,6237730,8.04,10.83,,
9539148,1588344,6.97,20.83,,
2376093,3529876,9.42,6.3,,
3209863,6570060,0.04,824743.44,,
5585399,1518766,1.59,224.25,,
1095068,2008925,5.97,4.12,,
2264156,3668088,4.77,24.32,,
6587144,359872,8.63,2.12,,
2341263,7220161,5.48,37.55,,
9358457,7575213,6.58,109.26,,
4215631,462095,1.08,110.77,,
2805655,2568644,5.45,16.17,,
5600335,9237811,6.23,89.05,,
3382111,6312767,5.88,41.2,,
929127,3066400,9.85,1.96,,
9719992,8915241,0.54,19605.85,,
1909398,5152275,4.8,28.49,,
8657475,4705471,1.33,1531.03,,
7713150,9960586,7.92,81.67,,
1444908,6117570,5.62,18.66,,
3689137,6449435,9.9,16.19,,
9703672,7090726,1.5,2051.61,,
3617910,8621955,7.1,41.28,,
9728573,8590585,8.23,82.31,,
3568762,1478051,6.81,7.59,,
4101301,8090576,1.59,872.52,,
9144039,3102810,1.84,561.97,,
5854665,4900045,5.35,66.87,,
3845054,4238027,8.72,14.28,,
8438396,2499978,3.82,96.66,,
8393832,5575052,4.49,154.74,,
776938,2956484,9.79,1.6,,
3208759,5978556,5.34,44.92,,
976762,4869266,2.65,45.13,,
5400207,7169039,8.95,32.28,,
6304743,4255845,0.55,5939.35,,
4496919,5757170,1.16,1274.84,,
2579279,8860653,1.32,870.4,,
3461531,6270314,6.31,36.34,,
3389108,7172158,4.95,66.08,,
6974181,5920222,7.39,50.41,,
9285629,2471849,5.89,44.15,,
3524633,8751252,7.46,36.97,,
7016440,417151,1.98,50.01,,
8522197,6632947,7.84,61.39,,
733613,9959244,8.56,6.66,,
5058322,3498422,4.16,68.1,,
8580553,3806251,4.08,130.88,,
9816315,9505503,5.28,223.49,,
5578862,8222249,7.69,51.7,,
9015282,989177,6.42,14.45,,
7089629,3187333,1.13,1186.96,,
7039522,1497906,0.23,12996.18,,
1797809,5591919,0.87,880.25,,
8737098,8386073,7.99,76.52,,
425320,562589,4.91,0.66,,
6832101,8452868,8.85,49.19,,
6523768,947528,2.39,72.36,,
4265072,5131567,3.45,122.81,,
9426596,9829849,0.99,6336.29,,
4272308,824894,7.18,4.56,,
340284,1998679,1.13,35.41,,
55016,2531404,7.32,0.17,,
4410301,2432140,6.57,16.57,,
8467186,5839805,2.77,430.39,,
5209822,3871444,9.56,14.72,,
4617507,7366199,8.48,31.59,,
5519911,427479,2.16,33.89,,
8066517,9113293,3.35,436.7,,
7976573,3694131,1.17,1429.33,,
4596965,4314089,3.35,118.01,,
4754902,6954073,2.91,261.15,,
9737731,395850,3.45,21.67,,
6905853,2635358,2,304.63,,
9774812,26992,5.82,0.52,,
151103,4448992,3.95,2.87,,
1832586,7109212,6.96,17.93,,
8717258,1395885,1.98,207.23,,
5770875,2696692,0.14,54659.69,,
1296779,6683036,1.66,210.35,,
1320227,1640477,5.41,4.94,,
7016158,5699476,6.89,56.19,,
1263237,9624659,3.33,73.21,,
5345405,2154507,5.86,22.35,,
218703,723222,3.51,0.86,,
3722057,6709407,5.45,56.04,,
9593194,4320748,5.89,79.76,,
3169841,3633412,3.43,65.36,,
1567512,9092982,7.2,18.33,,
2425746,8093611,7.08,26.13,,
5454905,3236874,1.3,692.58,,
8174600,2410219,4.52,64.3,,
9566661,3408272,8.43,30.6,,
8121023,5370628,0.43,16102.04,,
9634061,6245162,6.45,96.46,,
8486074,7707884,9.56,47.71,,
8770130,5169602,6.76,66.29,,
909482,2877977,3.13,17.84,,
6752175,6135329,5.36,96.07,,
4235338,9301029,4.66,121.01,,
2747666,2771289,0.45,2476.53,,
6325909,8061407,4.9,141.86,,
6989810,844589,8.47,5.49,,
950347,6218101,0.32,3840.45,,
2332832,143259,7.7,0.38,,
6296455,7378985,5.29,110.89,,
2519840,5764091,3.81,66.94,,
6401980,2085396,9.24,10.44,,
9432083,789834,7.2,9.59,,
6029223,3100315,6.92,26.03,,
4951807,708713,6.21,6.07,,
7994215,2569852,7,27.98,,
7538571,574905,1.82,87.1,,
9053089,7604589,1.32,2645.88,,
1647844,6997034,7.3,14.45,,
8090028,6886063,0.58,11227.98,,
8081789,6737439,1.74,1197.1,,
2167475,7264124,7.81,17.24,,
1527626,1535039,1.35,86.06,,
7267767,373728,5.11,6.94,,
5080570,1158232,2.38,69.61,,
8436008,3552463,9.04,24.45,,
591366,1590821,8.27,0.92,,
3918796,1520191,4.84,16.98,,
1823386,3002986,8.52,5.04,,
8467272,6199180,6.42,84.98,,
4163073,3332627,5.92,26.46,,
8922641,2603100,6.29,39.24,,
6412288,5554201,5.65,74.34,,
1862109,4229659,0.87,688.54,,
9711621,1727727,9.28,12.99,,
7667508,7716287,0.73,7310.01,,
3935258,312987,0.06,19662.54,,
2636759,5856500,7.22,19.76,,
9843979,2647403,5.39,59.83,,
3050473,6603487,6.05,36.72,,
5571752,486207,3.65,13.53,,
9402645,1735501,9.12,13.09,,
4569544,1420353,0.65,1032.59,,
5746716,4048446,5.49,51.55,,
7935905,7018356,3,412.74,,
1193082,9261619,6.01,20.38,,
103378,4677413,9.46,0.36,,
4870983,8696989,2.77,369.49,,
7301723,3743467,6.69,40.73,,
1101466,1357995,5.44,3.37,,
7880253,8754313,1.71,1575.82,,
6203234,3821152,6.4,38.61,,
5837947,5398331,2.19,439.24,,
3029946,8276307,2.11,377.29,,
5953391,618511,7.28,4.64,,
8166040,1124025,6.36,15.12,,
6140264,9847412,5.81,119.44,,
323511,6548975,0.79,228.79,,
6599263,7325612,1.19,2261.45,,
1560619,7177439,5.94,21.16,,
2149617,8610874,3.66,92.14,,
5051216,1407613,1.33,267.28,,
6199745,1299563,3.92,34.98,,
571441,1613674,4.85,2.62,,
645628,1269598,7.89,0.88,,
6237589,8391017,6.1,93.83,,
7915482,8766395,8.48,64.43,,
6576930,9586229,2.67,591.37,,
8073911,2687445,8.62,19.47,,
84472,7528920,0.75,74.95,,
8153422,5316471,7.15,56.58,,
8843296,9252483,1.86,1581.48,,
5627710,5872309,1.66,802.98,,
5141842,4271950,2.25,288.94,,
6771167,8398203,6.26,96.87,,
595447,6162763,5.23,8.95,,
3809148,444955,0.83,163.08,,
879210,1177616,2.63,10.01,,
1348272,9701026,2.02,213.12,,
1035689,1163432,1.39,41.59,,
7286076,86881,3.56,3.34,,
8792670,9543573,0.28,70545.78,,
9932617,9941728,2.69,912.62,,
3649382,6843973,0.99,1710.36,,
309136,9866958,2.38,35.93,,
1837737,9522866,3.47,97.12,,
5475087,6524688,0.97,2558.02,,
1143527,8715233,4.32,35.59,,
7594515,1413817,7.11,14.17,,
1738393,2505483,2.64,41.69,,
7372888,6722879,8.1,50.38,,
2177982,7420090,9.98,10.82,,
8141095,6480515,3.69,259.12,,
395153,8078395,2.56,32.6,,
5741618,7417085,4.17,163.39,,
6372639,9384869,7.95,63.11,,
2679060,5104249,3.49,74.9,,
6109670,2318934,2.07,221.18,,
2217553,2031623,7.14,5.89,,
1665556,5456065,6.8,13.1,,
7458974,776756,7.47,6.93,,
7518376,4182391,6.57,48.67,,
2953656,65781,5.33,0.46,,
2012913,1996871,4.57,12.83,,
3267614,3139555,3.94,44.1,,
3351820,9194950,1.07,1793.43,,
4041400,6670585,2.73,240.9,,
4514206,4520929,2.72,184.58,,
9650912,9766723,1.7,2186.08,,
4894248,6327902,8.57,28.11,,
8251456,228132,5.83,3.7,,
3107658,390556,8,1.26,,
3407624,1409926,9.93,3.25,,
7616972,8235728,3.08,440.57,,
7016625,3996158,8.64,25.06,,
1457320,5826908,2,141.85,,
214185,5199769,3.05,7.96,,
9408978,5468042,2.84,425.61,,
9305960,697947,9.2,5.12,,
6246786,1641007,7.54,12.04,,
6207482,3983819,4.15,95.68,,
8748769,7211820,6.93,87.79,,
2725716,1411727,2.07,60.09,,
3579566,4604766,3.09,114.84,,
752980,7421791,5.33,13.1,,
2721054,8214016,4.99,59.81,,
8789356,9747636,0.66,13134.1,,
4054899,634316,1.94,45.64,,
7617153,9860384,8.94,62.76,,
2224090,2085447,2.41,53.17,,
1407880,4717451,4.3,23.95,,
4318305,6509333,2.27,363.68,,
5919104,6292299,1.31,1455.77,,
6316257,2093369,9.55,9.68,,
6207619,7037170,3.2,284.91,,
3158951,1936178,7.31,7.65,,
1957638,4564751,9.12,7.17,,
5275732,4172980,1.54,620.91,,
9449410,1758945,1.22,744.46,,
7440456,9133307,4.99,182.25,,
6531341,2724782,2.45,197.45,,
7359911,7107544,0.4,22113.22,,
7817798,1274879,0.07,127167.4,,
4943151,2865062,7.54,16.63,,
5957651,180902,2.42,12.3,,
8470466,9333441,6.8,114.06,,
8608457,8609631,9.81,51.36,,
9469628,4798323,0.55,9869.81,,
5629696,2982886,7.16,21.83,,
902699,5590665,9.14,4.03,,
7260921,6890381,3.05,359.05,,
2101238,1427507,5.68,6.2,,
2903637,6206521,2.44,202.28,,
6632057,6625668,8.34,42.11,,
8938739,4978277,9.2,35.11,,
7318351,3780631,8.41,26.13,,
2067155,1698001,2.05,55.99,,
7776143,4176672,8.08,33.16,,
7822181,8256809,2.75,570.87,,
1573785,1372661,7.86,2.33,,
4279232,3034224,7.25,16.49,,
7937294,6766123,7.29,67.47,,
3541013,8959610,8.96,26.34,,
9140343,4418275,8.91,33.96,,
4352736,8786723,1.15,1936.41,,
7286547,8933573,4.41,223.09,,
7708101,6834581,6.43,85.08,,
1492389,7847007,2.76,102.86,,
5057198,6333322,1.57,862.34,,
4600940,1949102,1.39,309.48,,
5417282,2644038,4.27,52.42,,
8334544,5998722,4.69,151.54,,
6181957,7145473,7.76,48.99,,
3369958,9137567,6.85,43.79,,
5233408,1649860,2.42,98.72,,
1349987,2777358,7.5,4.44,,
9952378,855976,8.13,8.61,,
7142322,827003,8.2,5.86,,
7378373,8589557,1.82,1281.16,,
8648271,603168,3.33,31.35,,
6008435,689261,1.21,190.05,,
3043202,9181987,0.79,2990.81,,
444907,9086060,8.91,3.4,,
9899080,2452727,1.9,448.95,,
4774450,1992313,9.85,6.55,,
1895747,9679291,1.23,803.26,,
2863470,5974196,6.68,25.56,,
6194756,8423655,4.05,211.82,,
8120380,3908855,7.77,35.05,,
9221570,1209405,3.32,67.46,,
2476414,2407414,6.4,9.7,,
9519523,3950789,7.71,42.18,,
5157945,4568622,2.6,232.22,,
8262677,5723125,0.87,4155.78,,
7757547,1446253,2.83,93.3,,
6316028,7752660,4.7,148.15,,
8058412,1688699,5.01,36.24,,
8503603,8486975,0.99,4901.02,,
8517000,3062216,9.67,18.61,,
6134364,8805766,7.3,67.64,,
3333795,6975681,9.2,18.33,,
1190575,9897025,4.09,46.92,,
4491332,1402248,4.92,17.36,,
7458528,7828860,2.21,796.75,,
7589948,9047860,0.72,8874.04,,
2509269,5925625,9.99,9.95,,
8169284,3814687,6.89,43.85,,
2124566,1835725,0.12,17129.93,,
5557828,4754935,5.31,62.56,,
171730,6531978,9.83,0.78,,
1569314,4399735,1.52,198.76,,
1702090,9058191,4.79,44.82,,
6825467,1221428,1.81,170.23,,
8252070,8923475,9.94,49.7,,
4296983,2047354,8.6,7.93,,
377553,1105405,2.98,3.14,,
1877217,9515029,0.6,3339.68,,
6914923,5387185,2.41,429.11,,
7372587,9667519,7.57,83.08,,
9661310,3727587,9.03,29.47,,
9809614,8801400,1.95,1509.98,,
2360837,6742089,6.6,24.41,,
9431792,7545117,9.22,55.82,,
9394296,4014209,3.46,209.65,,
4662781,9800066,1.14,2361.26,,
3273650,3154927,3.94,44.28,,
4953181,8125419,5.22,98.46,,
5285025,2344156,9.47,9.22,,
6364975,1359359,9.81,6,,
7067678,3543821,9.96,16.86,,
251624,1544963,6.77,0.57,,
3180934,7294416,9.99,15.5,,
8515978,8937483,1.02,4863.62,,
1189545,6027769,6.59,11.02,,
7046906,2477576,2.2,240.66,,
1022298,5504143,9.61,4.07,,
6836621,5325854,0.66,5604.89,,
5127668,8643171,3.5,241.89,,
1677491,4173098,9.48,5.2,,
7431300,7205479,1.52,1548.78,,
1221787,4364027,6.88,7.53,,
5395371,3573122,2.56,196.32,,
6354893,3149246,8.61,18,,
4325728,3234295,3,103.54,,
5753804,6379094,5.25,89.01,,
7113040,791827,4.38,19.61,,
7915068,210057,8.13,1.68,,
4834329,4893307,4.12,93.08,,
1046428,6310562,4.31,23.75,,
1105622,9957669,4.17,42.28,,
2265793,8856045,5.31,47.43,,
7076521,953511,3.41,38.63,,
1741259,63123,9.93,0.07,,
3153214,8463357,9.6,19.33,,
7470929,6797584,6.11,90.8,,
6337084,3383962,7.23,27.34,,
8663696,7280462,1.43,2060.73,,
3030669,1317043,8.66,3.55,,
4536010,2250094,6.43,16.49,,
9637822,975322,5.23,22.96,,
1872085,819647,5.01,4.07,,
4852858,6666872,9.32,24.84,,
2831921,2442964,7.03,9.34,,
1438860,9774584,4.11,55.49,,
4781237,3912887,2.05,298.51,,
6891569,2660270,8.97,15.2,,
7199547,3097280,9.99,14.9,,
4489943,508622,3.03,16.6,,
4271148,9006464,8.11,39.04,,
2929034,1385767,6.24,6.95,,
2137978,4557716,1.24,421.66,,
5131736,3403992,7.35,21.57,,
5972402,4345258,3.3,158.63,,
2799448,912644,2.79,21.9,,
3863848,9229114,6.49,56.49,,
6721117,1030837,6.19,12.07,,
258404,6112547,0.44,538.35,,
6607018,3603225,2.55,245.08,,
6003741,6345540,8.78,33,,
4337930,2951024,2.87,103.86,,
4390045,7630947,5.48,74.35,,
749000,6859018,6.72,7.58,,
7844234,5615738,6.64,66.69,,
1206950,3826711,8.97,3.83,,
7282997,2188784,3.12,109.12,,
6342317,5685326,8.52,33.13,,
4160634,8292125,4.14,134.01,,
3787113,9976479,8.65,33.73,,
8878120,9214152,8.85,69.65,,
4975079,5813840,7.99,30.25,,
8576126,3288419,2.78,243.8,,
2505441,4599130,9.35,8.8,,
6911654,9863873,2.74,604.7,,
17409,4819565,8.65,0.07,,
7108235,4362366,4.7,93.65,,
9497034,6123069,6.68,87.07,,
551936,1736632,0.69,135.59,,
1896278,2857648,5.25,13.1,,
6816506,6177076,6.74,61.87,,
8809351,6945115,6.53,95.7,,
7935691,4232458,4.21,126.31,,
7446065,7983068,7.66,67.59,,
6670423,578764,7.06,5.17,,
7177277,7490629,6.81,77.44,,
425980,8098938,4.1,13.7,,
7254142,5472206,0.95,2920.92,,
3063298,1066209,6.29,5.51,,
6902198,3433185,2.23,317.13,,
4952188,7093257,4.92,97.01,,
6812932,5713279,5.68,80.6,,
850761,1502053,6.52,2.01,,
8095238,3540217,1.82,580.21,,
3362443,6024165,1.63,508.08,,
2039869,1845262,3.3,23,,
1703637,3612411,3.58,32.09,,
2188733,727263,7.07,2.13,,
219292,2344036,4.65,1.59,,
6713701,8723436,1.11,3153.54,,
1160565,9148681,5.7,21.84,,
7751347,8264783,2.51,680.63,,
2721884,4032790,1.3,435.16,,
9521679,2600457,4.21,93.01,,
6739895,6445893,4.51,142.31,,
7294023,2858885,10,13.93,,
589721,5386567,2.31,39.85,,
5307760,3957883,3.7,102.14,,
6534253,2821788,6.79,26.69,,
6225587,7701372,5.82,94.51,,
97886,4690548,1.46,14.37,,
7950906,969885,5.77,15.47,,
5037447,4278729,4.4,74.24,,
1119395,4634029,7.99,5.42,,
5502756,4471865,4.1,97.45,,
6167954,6697283,0.9,3413.34,,
2504326,9023381,1.28,923.2,,
5224268,4098368,0.38,9974.42,,
9381640,562145,7.85,5.71,,
9397718,4654530,0.25,47531.68,,
8186482,8186197,6.32,111.9,,
6641118,7570698,5.61,106.59,,
8734135,3157246,0.16,70253.87,,
7926656,5299055,3.71,203.81,,
1549378,9138702,8.98,11.73,,
9462154,3189219,6.47,48.1,,
8551100,4456781,5.74,77.11,,
6441363,6789053,9.97,29.38,,
1672969,6756458,0.63,1875.37,,
4443035,2355333,0.15,31178.9,,
5112973,7473291,2.1,579.9,,
7852672,3845195,6.79,43.67,,
6469737,4179266,1.59,718.14,,
3819538,8915435,8.67,30.26,,
6192299,6438509,8.44,37.34,,
1411719,3274528,1.08,265.08,,
2216975,718489,7.23,2.03,,
5365121,450827,5.47,5.39,,
1181329,9505575,5.41,25.64,,
4199823,6485407,6.89,38.27,,
48583,7368597,8.88,0.3,,
8199013,3263352,9.25,20.86,,
8963524,7975177,8.33,68.77,,
7984615,3848126,7.46,36.83,,
